keyword,entity_name,priority
AMAZON PRIME,Amazon Prime,3
IBERDROLA CLIENTES,Iberdrola,4
DIGI SPAIN TELECOM,Digi,4
BRIDGE BROKER SL,Bridge Broker,4
EUROMID LEVANTE,Euromid Levante,4
SANTANDER CONSUMER,Bauhaus,4
FINANCIERA EL CORTE ING,Financiera El Corte Inglés,4
AMAZON WEB SERVICES,Amazon AWS,3
AWS,Amazon AWS,3
AYUNTAMIENTO DE CASTELLON,Ayuntamiento de Castellón,4
LIQ. PROPIA CTA.,Bankinter,3
CAJA,Bankinter,3
CAJERO,Bankinter,3
COLEGIO DE REGISTRA,Colegio de Registradores,3
BIZUM,Bizum,6
AMAZON.ES,Amazon,5
AMZN MKTP,Amazon,5
AMAZON*,Amazon,5
ALIEXPRESS,AliExpress,5
MIRAVIA.ES,Miravia,5
MERCADONA,Mercadona,5
LIDL,Lidl,5
CONSUM,Consum,5
MYS Y MAS,Mas y Mas,5
ALCAMPO,Alcampo,5
EL CORTE INGLES,El Corte Inglés,5
El Corte Inglés,El Corte Inglés,5
JAZZTEL,Jazztel,5
RYANAIR,Ryanair,5
AIRBNB,Airbnb,5
BOOKING.COM,Booking.com,5
REVOLUT,Revolut,5
BINANCE,Binance,5
COINBASE,Coinbase,5
PROZIS,Prozis,5
DECATHLON,Decathlon,5
PCCOMPONENTES,PcComponentes,5
MEDIA MARKT,Media Markt,5
COOLMOD,Coolmod,5
FNAC,Fnac,5
LEROY MERLIN,Leroy Merlin,5
DRUNI,Druni,5
KIWOKO,Kiwoko,5
ZOOPLUS,Zooplus,5
UDEMY,Udemy,5
TELPARK,Telpark,5
EASYPARK,EasyPark,5
RENFE,Renfe,5
GLOVO,Glovo,5
WALLAPOP,Wallapop,5
SAMSUNG,Samsung,5
SPOTIFY,Spotify,5
NETFLIX,Netflix,5
LEKUE,Lekué,5
LACOLADACS,La Colada CS,5
IYZICO,Turgame,5
JALEO,Jaleo,5
JACK & JONES,Jack & Jones,5
ADRIVI,Adrivi,5
ABRACADABRA,Abracadabra,5
ARRE,Arre,5
BABEL,Babel,5
BOTAVARA,Botavara,5
VETERINARIA R GUALLART,Veterinaria R Guallart,5
CASA ELENA,Casa Elena,5
CASA FRAN,Casa Fran,5
CASA MINGUITO,Casa Minguito,5
CASA PATACONA,Casa Patacona,5
COMPUCENTER,Compucenter,5
CUSTOM FIGHTER,Custom Fighter,5
JYSK,Jysk,5
EL COLMADO,El Colmado,5
FARMAFEROLES,Farmaferoles,5
FERRETERIA ESCRIG,Ferreteria Escrig,5
G2A.COM,G2A.com,5
Govee,Govee,5
govee,Govee,5
HELADOS LA JIJONENCA,Helados La Jijonenca,5
ELS SARIERS,Els Sariers,5
HORCHATERIA IMA,Horchateria Ima,5
PINGšINS,Pingüins,5
ROAST MARKET,Roast Market,5
SHADES OF COFFEE,Shades of Coffee,5
SALT IN CAKE,Salt in Cake,5
SANTA GLORIA,Santa Gloria,5
SIROPE,Sirope,5
VIVES,Cafetería Vives,5
ZURICH,Zurich Seguros,5
g2g,g2g,5
LA DOLCE VITA,La Dolce Vita,5
LA GOLETA,La Goleta,5
LA REDONA,La Redona,5
LA SELECTA,La Selecta,5
LA TERRACITA,La Terracita,5
LA TOSTADORA,La Tostadora,5
Novadelta,Cafés Delta,5
NOVADELTA,Cafés Delta,5
BON AREA,Bon Àrea,5
CAFE DROMEDARIO,Café Dromedario,5
FARMACIA BALLESTER,Farmacia Ballester Badenes,5
FRIGORIFICOS SANZ,Frigorificos Sanz,5
KEBAB HOUSE,Kebab House,5
KEBAB TROYA,Kebab Troya,5
LE BLANC PELUQUERIA,Le Blanc Peluquería,5
LEBLANC,Le Blanc Peluquería,5
PANADERIA MATEU,Els Ibarsos,5
PANADERIA MONICA,Panadería Mónica,5
ITV,Sitval ITV,5
TEATRO OLYMPIA,Teatro Olympia,5
BASE TECHNOLOGY,Basetis,5
MUY MUCHO,Muy Mucho,5
MI.COM,XiaoMi,5
LA DAMA BLANCA,La Dama Blanca,5
omoton,Omoton,5
ALIPAY,AliExpress,5
AMAZON,Amazon,5
IKEA,Ikea,5
Finlux Tech,Kucoin,5
Paysafe,Binance,5
SPAR,Spar,5
Spar,Spar,5
ALDI,Aldi,5
Luckia,Luckia,5
Conversión a TRY,Disney+,5
GeoVal,GeoVal,5
Geotecnia,GeoVal,5
FACSA,Facsa,5
ENDESA,Endesa,5
AMC,AMC,5
GENERALI SEG,Generali Seguros,5
Verificaciones,Verificaciones y Certificaciones,5
Gloval Valuation, Tasaciones Inmobiliarias,5
MAPFRE,Mapfre Seguros,5
RESTORE,Restore,5
